Text,Keywords,Sentiment
远赴人间惊鸿宴，一睹人间盛世颜！登顶的快乐；一方面是视觉给的，另一方面是心灵给的；但归根结底还是内心的满足。YYDS!远赴老君山，只为目睹这惊鸿一瞥！,"['人间', 'YYDS', '惊鸿一瞥', '登顶', '惊鸿']","[0.3120519816875458, 0.6879479885101318]"
中秋国庆好去处，快来佛山祖庙和欢乐海岸打卡啦，参与景区影像美图投稿，还有机会赢取华为Mate60Pro+等好礼哦~,"['打卡', 'Mate60Pro', '赢取', '祖庙', '投稿']","[0.3022729158401489, 0.6977270841598511]"
华为mate60华为mate6012+512，紫色有人要吗,"['华为', 'mate60', 'mate6012', '512', '紫色']","[0.3269118368625641, 0.6730881929397583]"
平时我很喜欢去野外旅游探险，那边通常都没有信号，但是有了Mate60，就算没有信号，也能通过卫星功能给家里人报平安,"['信号', '报平安', 'Mate60', '探险', '野外']","[0.2069929838180542, 0.7930070757865906]"
华为mate60遥遥领先远赴人间惊鸿宴,"['mate60', '惊鸿', '华为', '遥遥领先', '人间']","[0.27974510192871094, 0.7202548384666443]"
美景配手机2珠海,"['美景', '珠海', '手机']","[0.24582773447036743, 0.7541722059249878]"
华为抢的已经没有脾气了，每次都是这个界面,"['华为', '界面', '脾气', '每次', '这个']","[0.3165011405944824, 0.6834989190101624]"
世间的美好你值得拥有,"['世间', '美好', '值得', '拥有']","[0.1757347285747528, 0.8242653012275696]"
我也遥遥领先啦2六盘水·盘县金华大酒店,"['盘县', '六盘水', '大酒店', '遥遥领先', '金华']","[0.2833133637905121, 0.7166866660118103]"
最近最大的愿望就是能在张靓颖演唱会的时候用上mate60，华为看看孩子吧！定了一个月眼看演唱会就要开始了，我还没买到，都已经开始想着靠抽奖拿到了@华为,"['演唱会', '华为', '张靓颖', 'mate60', '抽奖']","[0.2570919990539551, 0.7429080009460449]"
来华为旗舰店买手机啦体验遥遥领先,"['买手机', '旗舰店', '遥遥领先', '来华', '体验']","[0.2552928328514099, 0.7447071671485901]"
起个大早，月亮和轩辕十二，星图是个好宝贝！2衡水·青年公园,"['起个', '大早', '星图', '衡水', '轩辕']","[0.2869144082069397, 0.7130855321884155]"
大盘天天跌，没有增量资金，外资方向带节凑，天天流出。光伏和新能源这低的估值，没有最低，只有更低，价值按道理是越来越凸显了。今日看盘,"['天天', '带节', '这低', '看盘', '光伏']","[0.24433396756649017, 0.7556660771369934]"
mate60领先不起来,"['mate60', '领先', '起来']","[0.28673499822616577, 0.7132649421691895]"
我也用上遥遥领先了！,['遥遥领先'],"[0.27013492584228516, 0.7298650741577148]"
这四个颜色你更喜欢哪一个,"['颜色', '四个', '喜欢', '一个']","[0.21885176002979279, 0.7811482548713684]"
十月十日卖萌日，你的萌态小猫请查收。来看看系列镜头下猫咪的可爱瞬间。全焦段超清影像，记录萌宠们的“萌”动时光。L华为终端公司的微博视频,"['猫咪', '查收', '十月十日', '卖萌日', '萌态']","[0.2750616669654846, 0.7249383330345154]"
2西安,['西安'],"[0.2564283013343811, 0.7435716986656189]"
国庆兼职的时候p6是小朋友送的2福州·东二环泰禾广场,"['东二环', 'p6', '泰禾', '小朋友', '兼职']","[0.24190108478069305, 0.758098840713501]"
新品超值，福利多多！,"['超值', '新品', '多多', '福利']","[0.22303013503551483, 0.776969850063324]"
宿舍室内测速，用的是移动卡，宿舍如果用联通卡其实可以更快点。这个“4G”的网速怎么样呢？LTNU数码君的微博视频,"['宿舍', '网速', '4G', 'LTNU', '微博']","[0.2713324725627899, 0.7286674976348877]"
手表嘛，便宜好用就行，不要讲究那么多，1788的GT4比RS典藏功能一点也不少。🤭🤭,"['1788', 'GT4', 'RS', '典藏', '好用']","[0.27242806553840637, 0.727571964263916]"
今天一同事跟我说华为60pro＋炒到1万8了。我嗯了一声。然后他说华为居然卖1万8。我没接茬。同事接着说，苹果才卖1万3了。我又没接话。同事接着说，华为就是爱国情怀炒起来的。我说了一句凭什么华为就不能卖1万8，有人喜欢有人愿意买。同事就说华为不配卖这个价，人家苹果才1万3了，好歹是个美国货，华展开c,"['华为', '同事', '苹果', '60pro', '炒到']","[0.30097445845603943, 0.699025571346283]"
今天一同事跟我说华为60pro＋炒到1万8了。我嗯了一声。然后他说华为居然卖1万8。我没接茬。同事接着说，苹果才卖1万3了。我又没接话。同事接着说，华为就是爱国情怀炒起来的。我说了一句凭什么华为就不能卖1万8，有人喜欢有人愿意买。同事就说华为不配卖这个价，人家苹果才1万3了，好歹是个美国货，华为就是一国产的，不配卖那么贵。我说有人喜欢有人愿意高价买华为，凭什么要让别人来认同你的价值观。然后俩人就没话说了。收起d,"['华为', '同事', '有人', '不配', '苹果']","[0.3045787215232849, 0.6954212784767151]"
遥遥领先看我这微博尾巴来自遥遥领先的huaweimate60华为,"['遥遥领先', '微博', 'huaweimate60', '华为', '尾巴']","[0.2298901081085205, 0.7701098322868347]"
晚上好🌹来自花粉的投稿合集📱🌸🌸华为华为主题华为手机华为mate50展开c,"['华为', 'mate50', '合集', '投稿', '花粉']","[0.28288447856903076, 0.7171155214309692]"
晚上好🌹来自花粉的投稿合集📱🌸🌸华为华为主题华为手机华为mate50收起d,"['华为', 'mate50', '合集', '投稿', '花粉']","[0.2508421242237091, 0.7491578459739685]"
太难抢了，,['太难'],"[0.27626553177833557, 0.7237344980239868]"
我真的被种草了！特别是华为紫色的X5！在成都春熙路「聚力新生—超级Mate馆」华为Mate60系列路演现场，有独特的IP人偶「遥遥」熊猫，反正这次我的DNA是动了~,"['华为', '春熙路', '人偶', 'X5', '聚力']","[0.2663629949092865, 0.7336369752883911]"
哈哈哈哈哈哈哈哈哈哈，终于有了自己的mate60。只要我们努力，就一定会实现愿望的2沈阳·沈阳北站,"['哈哈哈', '沈阳北站', 'mate60', '哈哈哈哈', '沈阳']","[0.2555384635925293, 0.7444615364074707]"
成都华为全新超级Mate馆，各种山河元素打造的全新线下体验馆，简直不要太适合拍照打卡！我怎么这么容易被种草！全新紫色的华为X5，独特的紫色外观简直戳我心新巴！我还体验了其它好多的遥遥领先~,"['全新', '华为', '紫色', '体验', '简直']","[0.31622451543807983, 0.6837754845619202]"
叮~打卡！华为超级Mate馆📸华为Mate60系列等新品的特点和功能真不错，完全感受到了华为科技与时尚结合的魅力，还有X5紫色款，这波心水程度是100000％！,"['华为', '打卡', 'Mate', 'Mate60', 'X5']","[0.2887309789657593, 0.711268961429596]"
抢到了，安排上了华为mate60,"['mate60', '抢到', '华为', '安排']","[0.23860283195972443, 0.7613971829414368]"
同事买的贴纸这可真是遥遥领先啊,"['贴纸', '遥遥领先', '同事', '真是']","[0.24088606238365173, 0.7591139078140259]"
阿华发问:什么比5G更快？,"['5G', '华发', '更快', '什么']","[0.216816246509552, 0.7831836938858032]"
这绝对是宠物爱好者的福音！Pro搭载超光变主摄，支持十档可变光圈。还配有超广角镜头和一枚微距长焦镜头。让萌宠的陪伴时光轻松定格。？来用照片直观感受下这款旗舰机型的影像表现。,"['十档', '广角镜头', 'Pro', '主摄', '微距长']","[0.2821018397808075, 0.7178981900215149]"
纤毫毕现，萌态可掬。拿起系列，轻松捕捉萌宠的可爱瞬间，用镜头记录每个温情陪伴画面。,"['萌态', '可掬', '萌宠', '纤毫', '毕现']","[0.25228381156921387, 0.7477161288261414]"
今日卖萌日，这些是用系列手机拍出来的萌猫的照片，它们的百般“萌”态，真的让人好喜欢！不错过猫猫们的可爱时光，让我们一起用将此刻记录吧！,"['卖萌日', '萌猫', '猫猫', '百般', '时光']","[0.20808285474777222, 0.7919171452522278]"
如果你家有喵星人，系列手机，会让你体会到。不仅如此，你还会收获一个萌萌的陪伴者，一个淘气的好玩伴～每天都沦陷在它的可爱里！,"['星人', '萌萌', '淘气', '好玩', '沦陷']","[0.22285571694374084, 0.7771442532539368]"
谷歌Pixel8Pro黑科技——红外温度测量计实测，可测人体温度。L科技圈同学的微博视频,"['温度', 'Pixel8Pro', '测量计', '可测', '微博']","[0.3007832169532776, 0.6992167830467224]"
新手机拍照绝了,"['新手机', '拍照']","[0.2290429323911667, 0.7709570527076721]"
修猫当然不止有可爱的一面，它还有淘气的一面优雅的一面机智的一面......快来看看Pro拍下的猫猫的美一面！,"['一面', '修猫', '......', 'Pro', '猫猫']","[0.2549456059932709, 0.7450544238090515]"
咱就是说给人拍证件照可太难了，给宠物拍可soeasy！系列镜头，风驰闪拍！再活泼的哈基米也有被我拍到的时刻～,"['风驰', '证件照', '可太难', 'soeasy', '闪拍']","[0.2607421278953552, 0.7392579317092896]"
这几天随着系列上市，“遥遥领先”刷屏了整个平台～在手机圈里是很久没有见到的盛况了～借着10月华为超级Mate馆登陆北京，假期我也跑去狠狠地体验了一把这次全线的新产品～华为超级Mate馆的整体造型设计理念就是源于华为Mate60手机的镜头设计。整体外观颜色取自Mate60手机全新的配色——展开c,"['华为', 'Mate', 'Mate60', '手机', '超级']","[0.2685283422470093, 0.7314716577529907]"
这几天随着系列上市，“遥遥领先”刷屏了整个平台～在手机圈里是很久没有见到的盛况了～借着10月华为超级Mate馆登陆北京，假期我也跑去狠狠地体验了一把这次全线的新产品～华为超级Mate馆的整体造型设计理念就是源于华为Mate60手机的镜头设计。整体外观颜色取自Mate60手机全新的配色——雅川青色。整个超级Mate馆内部，对应打造了四大极境体验空间，分别在雅鲁藏布江，白沙山，黑独山，南糯山的环境中展示了这次发布的不同新品让大家上手体验！作为摄影师我首先体验的就是Mate60Pro的拍照功能，超强的硬件搭配加上华为较强的调校能力，实际使用拍照的时候切入迅捷灵敏，成像速度快且清晰～尤其是对于高光的处理上真的很自然，拍人像的时候脸不会过暴，肤色清新！这次除了体验Mate60系列手机，同时还感受了一把华为watchGT4和华为问界新M7，豪华内饰与智能座舱真的很酷。从诞生到蜕变，每一代Mate，都是华为创新与尖端科技的集大成者。看到我们国产品牌可以做到如此出色，真的可以喊出那句口号：！收起d,"['华为', 'Mate', '体验', 'Mate60', '手机']","[0.37569427490234375, 0.6243057250976562]"
华为秋季全场景新品亮相，咱就是说谁能拒绝华为全家桶的诱惑？！Pro最吸引我的是湿手触控，无论是洗澡还是刚洗完手都能滑动接电话！卫星通信真的让野外探险党安全感满满，玄武架构加上强大的摄影功能更是完美戳中我；华为手表堪称女性之友！科学监测热量缺口，智能预测生理周期，简直不要展开c,"['华为', 'Pro', '湿手', '触控', '之友']","[0.3142433762550354, 0.6857565641403198]"
华为秋季全场景新品亮相，咱就是说谁能拒绝华为全家桶的诱惑？！Pro最吸引我的是湿手触控，无论是洗澡还是刚洗完手都能滑动接电话！卫星通信真的让野外探险党安全感满满，玄武架构加上强大的摄影功能更是完美戳中我；华为手表堪称女性之友！科学监测热量缺口，智能预测生理周期，简直不要太贴心；还有耳机也值得表扬！AI降噪瞬间安静，在车上或者在图书馆沉浸式听音乐可以享受自由时光，避免嘈杂和烦躁；还有我的梦中情机华为平板，无边框超大大大屏，无论看剧还是移动办公都能轻松驾驭，uu们不好意思我先啦～～收起d,"['华为', 'Pro', '湿手', '触控', 'AI']","[0.30483558773994446, 0.6951643228530884]"
九月碎片～华为2广州,"['华为', '碎片', '九月', '广州']","[0.28927722573280334, 0.710722804069519]"
 在华为秋季新品发布会上多款新品亮相，Pro采用了玄武架构第二代昆仑玻璃和卫星通话，更加可靠耐用。轻薄且无边的13.2英寸MatePadPro，真的是要卷死笔记本。还有FreeBudsPro3的音质真的给我带来了很大的惊喜，再次抬高了真无线蓝牙耳机的天花板。这几款产品我也第一展开c,"['新品', 'Pro', '13.2', 'MatePadPro', 'FreeBudsPro3']","[0.28051167726516724, 0.7194883227348328]"
 在华为秋季新品发布会上多款新品亮相，Pro采用了玄武架构第二代昆仑玻璃和卫星通话，更加可靠耐用。轻薄且无边的13.2英寸MatePadPro，真的是要卷死笔记本。还有FreeBudsPro3的音质真的给我带来了很大的惊喜，再次抬高了真无线蓝牙耳机的天花板。这几款产品我也第一时间带来了评测内容，大家可以在首页搜索查看，你们喜欢哪款产品呢～收起d,"['新品', 'Pro', '13.2', 'MatePadPro', 'FreeBudsPro3']","[0.249390110373497, 0.7506098747253418]"
 设计也太太太出圈了吧！玄武架构和同心圆设计真的超级精致，拿到手感受到满满的诚意。摄影功能怎么能做到既如此的清晰又有质感的美，真的很惊喜。新款无边大平板体验高级感也是拉满啦，还有亮相的手表和耳机，华为手表与健康是绝配，科学检测热量缺口，耳机的AI降噪和至臻原声听起音乐简展开c,"['耳机', '手表', '原声', '出圈', 'AI']","[0.3349204659461975, 0.6650795340538025]"
 设计也太太太出圈了吧！玄武架构和同心圆设计真的超级精致，拿到手感受到满满的诚意。摄影功能怎么能做到既如此的清晰又有质感的美，真的很惊喜。新款无边大平板体验高级感也是拉满啦，还有亮相的手表和耳机，华为手表与健康是绝配，科学检测热量缺口，耳机的AI降噪和至臻原声听起音乐简直身临其境。 真的可以每次都相信华为！收起d,"['华为', '耳机', '手表', '真的', '原声']","[0.2822180390357971, 0.7177819013595581]"
国庆被华为Mate60系列拍摄的川西美图和视频刷屏了！照片除了“出圈”景点卧龙九寨沟碧峰峡达古冰川！长焦拍雪山再合适不过了，还有微距，拍细节也是遥遥领先！而且Mate60的配色也是取自于大地板图，在川西也能找到对应颜色，一起出镜也太美了！#Mate60遥遥领先展开c,"['Mate60', '遥遥领先', '川西', '美图', '刷屏']","[0.3051685392856598, 0.6948314905166626]"
国庆被华为Mate60系列拍摄的川西美图和视频刷屏了！照片除了“出圈”景点卧龙九寨沟碧峰峡达古冰川！长焦拍雪山再合适不过了，还有微距，拍细节也是遥遥领先！而且Mate60的配色也是取自于大地板图，在川西也能找到对应颜色，一起出镜也太美了！收起d,"['Mate60', '川西', '美图', '刷屏', '碧峰峡']","[0.2828012704849243, 0.7171987891197205]"
华为frebudspro3耳机星闪功能是真的厉害，而且这绝对是华为无线耳机中音质中最好的。值得无脑上车。只支持华为mate60系列哈L叫我小胖娃的微博视频,"['华为', '无脑', '胖娃', 'frebudspro3', '星闪']","[0.25788432359695435, 0.7421156764030457]"
华为mate60pro使用30天体验。很流畅，如果不是为了支持国产，同价位有更多的选择。但不可否认技术确实很优秀L叫我小胖娃的微博视频,"['同价位', '胖娃', 'mate60pro', '30', '微博']","[0.2723643481731415, 0.7276356220245361]"
国庆春熙路街头的华为超级Mate馆，致敬奔腾不息的力量，一起感受遥遥领先~,"['春熙路', 'Mate', '华为', '致敬', '遥遥领先']","[0.260331392288208, 0.739668607711792]"
【消息人士：华为目标在2024年出货6000万-7000万部智能手机】10月10日，记者通过华为相关消息人士了解到，华为目标在2024年出货6000万-7000万部智能手机。该人士还表示华为已经向供应链追加了足够数量的订单，确保2024年全年能够达到这一出货数字。华为,"['华为', '2024', '出货', '6000', '7000']","[0.24852977693080902, 0.7514702081680298]"
太精彩了获奖预定,"['太精彩', '获奖', '预定']","[0.24331359565258026, 0.7566863894462585]"
摄于宁德市霞浦县，夕阳无限好，记录渔民的劳作日常，抓拍渔民撒网捕鱼的精彩瞬间2宁德·霞浦,"['渔民', '撒网捕鱼', '霞浦县', '霞浦', '摄于']","[0.29291072487831116, 0.7070891857147217]"
分享河北花粉Mate60里的世界,"['Mate60', '花粉', '分享', '河北', '世界']","[0.25560253858566284, 0.7443975210189819]"
【华为|Mate60系列📱记录萌宠瞬间】纤毫毕现，萌态可掬。拿起系列，轻松捕捉萌宠的可爱瞬间，用镜头记录每个温情陪伴画面。来选购华为产品@华为终端（颐堤港一层）2北京·颐堤港INDIGO华为,"['华为', '萌宠', '颐堤', '瞬间', '系列']","[0.2709330916404724, 0.7290669679641724]"
Mate60Pro+遥遥领先,"['Mate60Pro', '遥遥领先']","[0.2283598929643631, 0.7716401219367981]"
【华为破围堵第一击美急谋对策续打压】华为技术有限公司旗舰手机Mate60Pro，最大亮点是搭载了由同系芯片设计公司海思开发的7纳米通讯芯片麒麟9000s，性能直逼4纳米工艺的高通骁龙888。在美国对华半导体产业强烈打压下，为何内地企业仍有能力制造7纳米工艺的芯片？这正是业界最感展开c,"['纳米', '芯片', '打压', '工艺', '华为技术有限公司']","[0.3403609097003937, 0.6596391201019287]"
【华为破围堵第一击美急谋对策续打压】华为技术有限公司旗舰手机Mate60Pro，最大亮点是搭载了由同系芯片设计公司海思开发的7纳米通讯芯片麒麟9000s，性能直逼4纳米工艺的高通骁龙888。在美国对华半导体产业强烈打压下，为何内地企业仍有能力制造7纳米工艺的芯片？这正是业界最感兴趣的地方O网页链接收起d,"['纳米', '芯片', '打压', '工艺', '华为技术有限公司']","[0.21814732253551483, 0.781852662563324]"
看了工作室小伙伴儿假期用Pro+拍的这些照片，确实勾起了我去西藏玩儿一次的欲望，明年，明年一定得去一次。到时我应该会带着华为Mate70系列去吧,"['Pro', '会带', 'Mate70', '小伙伴', '明年']","[0.22075319290161133, 0.7792468070983887]"
确实听筒有点问题，一直有遥遥领先的声音在响……,"['听筒', '遥遥领先', '确实', '有点', '声音']","[0.22603067755699158, 0.7739693522453308]"
华为你什么时候把摄像头调调软件快点适配微信的视频通话画质真的很死亡,"['适配', '微信', '画质', '调调', '摄像头']","[0.29361122846603394, 0.7063887715339661]"
韩媒：中国自主研发脚步不会停止，美国有可能逼出“中国版阿斯麦”！这是必然的，等着瞧，中国EUV光刻机也就是3-5年内必然商用。想想当年高不可攀的盾构机，今何在？“凡是杀不死我的，必将使我强大。”中国在这方面感受太深了，“自力更生，艰苦奋斗”,"['今何在', '中国', '韩媒', 'EUV', '光刻机']","[0.3291909992694855, 0.6708090305328369]"
福州哪里有不加价的华为mate60pro呀，抢不到呀,"['mate60pro', '华为', '加价', '福州', '哪里']","[0.2746551036834717, 0.7253448963165283]"
终于抢到了,"['抢到', '终于']","[0.20497027039527893, 0.7950296998023987]"
，你的萌态小猫请查收。来看看系列镜头下猫咪的可爱瞬间。全焦段超清影像，记录萌宠们的“萌”动时光。L华为商城的微博视频,"['猫咪', '查收', '萌态', '全焦', '超清']","[0.2631029486656189, 0.7368971109390259]"
我真服了这个华为，今早也是盯着时间抢的，抢四次了，感觉1秒没，比演唱会门票都难抢，搞得人都不想买了，我真的怀疑有人抢到过吗？这个10:08，我真的气死华为,"['华为', '真服了', '今早', '10', '08']","[0.33469295501708984, 0.6653070449829102]"
，你的萌态小猫请查收。来看看系列镜头下猫咪的可爱瞬间。全焦段超清影像，记录萌宠们的“萌”动时光。L华为终端的微博视频,"['猫咪', '查收', '萌态', '全焦', '超清']","[0.300163596868515, 0.6998364925384521]"
十月十日卖萌日，你的萌态小猫请查收。来看看系列镜头下猫咪的可爱瞬间。全焦段超清影像，记录萌宠们的“萌”动时光。L华为手机的微博视频,"['猫咪', '查收', '十月十日', '卖萌日', '萌态']","[0.286929726600647, 0.7130702137947083]"
服了，我今天去线下店问手机能预订上了吗，人家说要等两三个月，一直感觉华为带着麒麟芯片回归是我的白月光回国，本来今年就想换手机，之前有点想买三星的s23ultra结果听到mate60要出，我毅然决然的等，结果白月光一点机会都不给我，抢不到，根本抢不到（tb，🐠啥的价格比商城里买要贵好几百甚至上展开c,"['白月光', '手机', '店问', 's23ultra', 'mate60']","[0.3312595784664154, 0.668740451335907]"
服了，我今天去线下店问手机能预订上了吗，人家说要等两三个月，一直感觉华为带着麒麟芯片回归是我的白月光回国，本来今年就想换手机，之前有点想买三星的s23ultra结果听到mate60要出，我毅然决然的等，结果白月光一点机会都不给我，抢不到，根本抢不到（tb，🐠啥的价格比商城里买要贵好几百甚至上千，我总觉得买了会有点亏）感觉双十一好多手机都会有活动，甚至都考虑要不要换iphone了收起d,"['白月光', '手机', '店问', 's23ultra', 'mate60']","[0.30603498220443726, 0.6939650774002075]"
Mate40系列的宣传语，对应Mate60非凡大师,"['宣传语', 'Mate40', 'Mate60', '非凡', '大师']","[0.2570329010486603, 0.7429670691490173]"
什么时候能发货,"['发货', '时候', '什么']","[0.25013673305511475, 0.7498632669448853]"
终于让我抢到啦哈哈哈哈！！！！！！虽然不是青白但是紫色也是很好看滴,"['青白', '哈哈哈哈', '紫色', '好看', '终于']","[0.3014332354068756, 0.6985667943954468]"
保命神器，遥遥领先~，爱了爱了~,"['保命', '神器', '遥遥领先']","[0.29728177189826965, 0.702718198299408]"
开心激动坏了！！！这个运气也太好了！,"['太好了', '运气', '开心', '激动', '这个']","[0.3013405501842499, 0.6986594796180725]"
啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,['哈哈哈'],"[0.29574328660964966, 0.7042567133903503]"
PixLabV1和PixLabX1，你的打印伴侣！多种设备轻松打印，只需简单操作，省时又省心。🔘Pro13.2：一拉一拽，打印超快；🔘XPro：自动弹窗，一“印”俱全；🔘Pro+：随时随地，想印就印。,"['打印', 'PixLabV1', 'PixLabX1', 'Pro13.2', '一拉一']","[0.22679215669631958, 0.7732079029083252]"
可以安排了？🫣,"['安排', '可以']","[0.19904644787311554, 0.8009535670280457]"
10月10号是“卖萌日”。每年的这一天，我们都可以尽情享受来自毛孩子的“宠爱”，当我们享受“宠爱”时，随手拿起手机记录下这温馨的时刻，成为生活中必不可少的仪式感。在一次次和爱宠上头的拍摄中，系列手机用它专业的镜头记录下宠物们真实自然的样子，呈现展开c,"['10', '宠爱', '记录', '享受', '手机']","[0.23826903104782104, 0.761730968952179]"
10月10号是“卖萌日”。每年的这一天，我们都可以尽情享受来自毛孩子的“宠爱”，当我们享受“宠爱”时，随手拿起手机记录下这温馨的时刻，成为生活中必不可少的仪式感。在一次次和爱宠上头的拍摄中，系列手机用它专业的镜头记录下宠物们真实自然的样子，呈现出宠物证件照般的萌感，让“宠爱”如影随形时刻相伴。L人物的微博视频收起d,"['宠爱', '10', '宠物', '时刻', '记录']","[0.2714059352874756, 0.7285940647125244]"
万物皆可萌，可爱藏不住！猫咪这些日常萌点，在生活中你见过吗？用系列手机，一同看看吧！L我的宠物萌萌的微博视频,"['猫咪', '可萌', '萌点', '萌萌', '微博']","[0.23367708921432495, 0.766322910785675]"
国庆看到别人用Mate60拍的川西风景尊嘟太美了，谁看了不说绝绝子！！真的太羡慕尊贵的华为Mate60系列机主了，不仅拍照遥遥领先，还能卫星通话，呜呜呜我也要省钱入一台！,"['Mate60', '机主', '尊嘟', '绝子', '太美']","[0.3032087981700897, 0.6967912316322327]"
沉迷在喵哥喵姐的萌趣中无法自拔，系列镜头人像模式给宠物拍肖像，轻松记录宠宠萌动时刻！L萌宠集中营的微博视频,"['沉迷在', '萌趣', '宠宠', '萌宠', '微博']","[0.30468761920928955, 0.6953123807907104]"
一人一喵，生活美好！系列镜头超级微距，猫咪们的萌点轻松发现！？一起拍拍看看吧～L可爱宠物中心的微博视频,"['猫咪', '微距', '萌点', '宠物中心', '微博']","[0.256976455450058, 0.7430235147476196]"
纤毫毕现，萌态可掬。拿起系列，轻松捕捉萌宠的可爱瞬间，用镜头记录每个温情陪伴画面。,"['萌态', '可掬', '萌宠', '纤毫', '毕现']","[0.25228381156921387, 0.7477161288261414]"
前段时间说的星闪龙头，今天精准提醒出来，一波主升浪，不容易啊。荣联科技sz002642,"['主升浪', '荣联', 'sz002642', '精准', '前段时间']","[0.27752381563186646, 0.7224761843681335]"
u1s1，用来摄影也不在话下,"['u1s1', '不在话下', '摄影', '用来']","[0.27065449953079224, 0.7293455004692078]"
10月7日入手华为Mate60Pro（雅川青），经过几天体验，不仅性能（运转速度超快）屏幕和拍照能力方面表现出色，还具备强大的续航能力。大容量电池，搭配88W极速闪充和50W快速无线充电的组合，还支持10W反向无线充电，太棒啦。,"['无线', '充电', '10', 'Mate60Pro', '雅川青']","[0.23792429268360138, 0.7620757222175598]"
华为新款后置真的还蛮不错!就是会变色（去店里面试的 ),"['华为', '后置', '新款', '变色', '面试']","[0.28522124886512756, 0.71477872133255]"
，你的萌态小猫请查收。来看看系列镜头下猫咪的可爱瞬间。全焦段超清影像，记录萌宠们的“萌”动时光。L华为终端客服的微博视频,"['猫咪', '查收', '萌态', '全焦', '超清']","[0.28263044357299805, 0.7173696160316467]"
付款排队发货不就行了？至于吗还搞抢购,"['发货', '抢购', '付款', '排队', '就行了']","[0.30395710468292236, 0.6960429549217224]"
教教我吧，为什么我的华为mate60没饿了么实况窗,"['mate60', '没饿', '教教', '实况', '华为']","[0.29727238416671753, 0.7027275562286377]"
清晰记录宠物每一瞬间,"['宠物', '一瞬间', '清晰', '记录']","[0.30037418007850647, 0.6996257901191711]"
